OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_657	1033	1706	659	1146	863	932	1247	1546	1227	923	1213	1013	1966	2078	1464	1729	1242	1333
ASV_2	1900	1106	1936	1887	2384	1595	633	481	1128	1243	905	638	1114	1276	750	979	1264	1026
ASV_3	537	415	739	764	998	747	596	440	981	1003	809	673	893	1534	886	1042	1048	664
ASV_12	231	227	1485	569	1215	427	321	1838	1386	963	532	337	930	1013	676	353	879	1235
ASV_4	1382	362	439	627	1049	443	512	568	409	612	635	429	974	1202	464	512	978	798
ASV_6	856	601	661	741	1246	899	252	261	348	373	386	359	485	463	407	481	438	444
ASV_8	493	444	505	352	152	271	332	514	1447	762	488	516	542	631	488	918	389	436
ASV_18	420	917	255	359	248	405	410	395	285	495	652	412	667	502	711	361	584	379
ASV_9	333	713	285	358	230	473	288	420	609	382	525	398	498	266	385	370	642	452
ASV_10	360	315	577	629	829	554	199	176	267	276	391	279	298	494	216	228	449	250
ASV_11	298	295	272	308	474	312	467	368	229	402	336	186	351	432	442	368	279	328
ASV_13	165	158	310	305	449	336	171	494	449	288	481	188	337	238	361	254	507	459
ASV_15	310	377	349	286	309	325	366	295	263	242	388	367	252	226	271	319	294	311
ASV_14	290	278	291	308	374	306	242	172	272	292	335	250	307	464	362	414	278	289
ASV_16	224	219	415	231	125	182	159	235	544	273	213	179	359	243	220	276	684	295
ASV_17	414	276	282	358	358	512	128	103	180	224	232	187	292	256	242	267	227	235
ASV_28	255	280	50	381	108	158	159	269	147	254	242	182	345	377	212	265	391	207
ASV_20	187	386	68	213	129	140	71	117	46	176	110	107	215	246	91	115	1317	105
ASV_33	198	152	116	123	73	158	263	173	173	176	228	262	193	171	304	211	218	278
ASV_26	172	193	104	322	49	31	268	277	295	93	188	135	329	68	225	92	11	543
ASV_21	140	339	174	104	81	128	163	192	149	147	186	158	175	267	177	251	325	193
