Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
KO1	0.0572	0.0151	2383.3	0.99	0.787	191.6	456	30257	2382	0.259	0.00961	6.12	8.83	2.66
KO2	0.0523	0.0159	2394.3	0.992	0.794	220.1	480.4	30235	2393	0.251	0.00789	6.17	8.91	2.68
KO3	0.0599	0.0113	2050.5	0.99	0.764	157.9	339.8	30149	2050	0.255	0.0104	5.83	8.41	2.53
KO4	0.0576	0.0113	2101.4	0.99	0.762	158.4	341.1	30143	2101	0.261	0.0104	5.83	8.41	2.53
KO5	0.0738	0.0087	1893.6	0.986	0.738	116.7	262.5	30170	1893	0.291	0.0143	5.57	8.04	2.42
KO6	0.0486	0.0138	2257.4	0.992	0.781	199.9	415.7	30069	2257	0.256	0.00815	6.03	8.7	2.62
OE1	0.0366	0.0215	2628.8	0.994	0.823	301.2	652	30286	2628	0.197	0.00588	6.48	9.35	2.81
OE2	0.0454	0.0183	2554.7	0.993	0.805	243.5	554.2	30257	2554	0.208	0.0073	6.32	9.11	2.74
OE3	0.0426	0.0143	2459.8	0.991	0.777	183.1	432.1	30177	2459	0.228	0.00933	6.07	8.76	2.64
OE4	0.0379	0.0163	2447	0.993	0.795	231.3	492.4	30300	2446	0.249	0.00711	6.2	8.94	2.69
OE5	0.0333	0.0173	2516	0.993	0.799	247.4	523.1	30306	2515	0.242	0.00662	6.26	9.03	2.72
OE6	0.0428	0.0205	2608.9	0.994	0.818	283.5	620.9	30281	2608	0.202	0.00624	6.43	9.28	2.79
WT1	0.0583	0.012	2405.3	0.989	0.757	151.3	361.3	30231	2405	0.23	0.0112	5.89	8.5	2.56
WT2	0.0622	0.00985	2195.3	0.986	0.74	123.9	297.8	30251	2195	0.246	0.0136	5.7	8.22	2.47
WT3	0.0446	0.0171	2568.3	0.993	0.795	234.6	514.5	30107	2568	0.221	0.00726	6.24	9.01	2.71
WT4	0.052	0.0146	2427.4	0.991	0.781	198.5	440.4	30088	2427	0.247	0.00863	6.09	8.78	2.64
WT5	0.04	0.0108	2250.4	0.989	0.75	144.3	327.4	30178	2250	0.244	0.0111	5.79	8.35	2.52
WT6	0.0407	0.0161	2511.4	0.993	0.79	225.1	486.1	30115	2511	0.234	0.00735	6.19	8.93	2.69

