OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_690	11	3	7	0	3	16	9	5	3	6	3	7	2	2	11	2	2	5
OTU_39	167	114	157	167	270	170	67	63	88	106	86	72	88	131	85	124	97	101
OTU_4	1303	331	413	602	997	410	464	520	372	553	575	383	871	1101	437	458	858	731
OTU_2	1730	1006	1807	1737	2226	1461	572	424	1044	1149	813	563	992	1134	665	881	1129	926
OTU_683	8	9	12	4	9	9	0	7	2	4	2	4	9	2	2	3	3	6
OTU_101	78	19	31	51	232	28	25	49	19	105	67	44	26	10	40	56	36	61
OTU_92	191	90	121	123	9	77	101	129	135	175	86	48	31	74	33	107	68	34
OTU_18	221	286	143	213	130	183	202	167	184	325	239	177	353	376	180	231	391	231
OTU_31	165	147	150	209	49	208	166	182	206	176	190	129	195	142	177	142	207	146
OTU_164	25	39	20	27	14	25	39	48	38	36	41	62	46	24	34	30	28	32
OTU_75	67	74	66	63	87	60	74	58	47	52	89	59	53	58	65	55	64	57
OTU_7	198	113	958	293	1005	239	116	1058	712	458	168	196	622	699	442	173	451	684
OTU_35	134	123	164	152	115	106	100	71	142	132	147	123	129	157	160	144	145	177
OTU_169	29	22	5	10	9	17	88	43	45	65	31	127	6	5	15	7	8	14
OTU_1	975	1581	621	1050	799	873	1079	1373	1129	842	1009	884	1763	1881	1342	1564	1080	1225
OTU_1152	13	3	0	3	2	7	12	4	3	4	4	8	2	4	4	13	1	6
OTU_63	128	96	107	102	128	122	61	32	41	60	75	58	74	70	50	72	53	82
OTU_11	279	282	245	281	425	305	423	325	205	377	298	165	327	372	395	326	242	303
OTU_21	134	297	154	89	78	115	144	170	126	135	161	140	160	231	159	233	290	171
OTU_1032	9	5	1	2	0	4	4	4	2	9	4	5	1	3	2	1	2	6
OTU_1633	5	0	2	6	5	2	1	4	0	6	0	5	0	0	0	2	2	3
OTU_1493	3	1	1	2	0	2	3	1	3	5	0	2	1	0	3	0	0	2
OTU_15	282	337	325	262	266	303	322	260	231	216	338	317	216	201	247	281	267	285
OTU_265	20	6	4	19	8	8	14	13	18	31	9	25	10	14	27	22	13	16
OTU_8	441	403	458	324	142	261	290	462	1285	687	424	455	487	568	435	813	345	386
OTU_1420	2	4	11	8	1	0	0	7	5	3	2	5	1	0	2	2	0	2
OTU_121	43	30	32	24	9	35	59	36	39	39	44	69	28	28	34	15	37	38
OTU_150	81	52	9	35	17	21	48	26	36	39	24	20	33	21	36	21	8	19
OTU_6	798	557	648	705	1145	829	217	227	321	350	332	326	443	411	387	435	390	401
OTU_191	12	8	4	9	2	5	27	20	26	36	43	7	17	56	23	36	12	23
OTU_280	20	14	17	30	18	14	22	12	10	15	13	14	12	12	13	20	12	17
OTU_375	26	20	13	22	28	26	48	26	44	42	25	63	21	6	18	15	19	32
OTU_1900	4	0	0	1	1	0	5	1	1	1	0	2	0	1	1	1	0	4
OTU_25	100	106	869	43	25	57	223	131	63	153	140	102	108	22	222	193	163	291
OTU_80	62	25	74	82	64	56	22	30	112	72	48	59	57	92	76	77	61	78
OTU_62	91	68	125	124	183	118	52	51	59	72	68	81	46	110	53	82	110	79
OTU_1701	14	0	0	0	0	0	1	2	0	2	1	2	7	0	0	0	0	0
OTU_2501	1	1	0	0	0	25	1	1	1	0	2	3	0	0	0	0	0	0
OTU_1092	2	5	5	2	2	1	5	4	2	5	2	0	6	2	4	2	3	2
OTU_195	14	19	43	39	18	19	24	22	28	12	18	24	21	25	34	20	16	18
OTU_23	169	167	238	185	172	173	222	131	119	150	155	195	117	125	183	131	121	160
OTU_764	7	12	0	1	1	2	3	2	1	0	0	0	31	5	0	5	0	0
OTU_1121	18	4	12	0	0	0	0	1	2	0	2	4	8	0	1	1	5	0
OTU_17	436	268	295	373	389	514	132	121	195	234	224	186	276	263	235	279	241	236
OTU_3	513	383	694	714	950	696	542	401	899	941	723	606	812	1356	822	962	929	615
OTU_128	7	93	41	67	8	21	36	61	26	39	62	16	20	61	48	21	4	51
OTU_449	19	18	49	8	12	16	31	13	9	23	11	24	8	10	19	25	14	20
OTU_1655	3	1	2	3	2	2	1	0	1	1	2	3	1	0	5	3	2	2
OTU_16	200	202	393	205	103	162	139	200	486	246	184	152	318	205	189	239	602	272
OTU_3286	5	4	0	2	3	1	5	0	3	2	3	2	1	1	3	2	1	2
OTU_143	76	47	56	63	55	69	5	16	15	31	15	8	27	34	15	15	19	22
OTU_1255	4	5	0	0	7	14	5	0	1	0	1	4	0	2	2	0	1	1
OTU_1872	4	5	2	2	0	2	5	0	4	2	2	6	1	0	1	3	2	5
OTU_782	2	5	5	2	2	4	4	8	5	6	4	7	6	3	8	4	2	2
OTU_46	116	224	197	109	237	70	98	90	101	58	109	93	183	113	117	223	72	79
OTU_58	73	77	96	64	86	77	63	58	89	67	78	73	82	108	89	104	81	98
OTU_242	22	41	12	24	14	29	24	20	24	23	43	49	24	28	38	15	13	21
OTU_67	29	27	31	27	42	26	111	108	69	394	85	317	21	12	18	28	75	34
OTU_635	18	11	0	14	0	0	19	6	6	0	13	12	6	0	7	0	2	6
OTU_294	18	22	22	7	45	14	15	21	8	8	12	7	7	4	32	13	10	11
OTU_33	201	167	117	136	77	162	290	184	184	178	221	272	188	171	302	220	212	279
OTU_142	37	40	29	24	11	36	59	26	34	40	42	32	17	26	44	19	28	63
OTU_202	17	23	17	14	20	13	15	22	19	25	12	19	31	28	28	27	10	13
OTU_359	13	9	34	7	1	2	27	4	9	20	11	7	0	30	4	24	11	19
OTU_1206	5	3	0	2	0	7	7	1	5	3	1	2	0	0	3	2	3	3
OTU_115	30	80	42	52	40	42	53	53	45	49	39	49	34	40	56	32	36	49
OTU_44	151	92	172	169	284	140	70	35	85	80	76	50	111	161	76	44	134	79
OTU_631	9	5	3	6	1	5	13	12	5	2	3	10	9	1	6	1	5	4
OTU_414	19	7	5	2	16	12	8	5	11	16	7	5	9	5	9	8	7	14
OTU_82	98	29	33	75	87	136	14	15	72	35	24	51	56	117	25	48	55	34
OTU_81	78	25	28	48	96	29	37	86	39	88	183	48	42	18	87	45	62	43
OTU_267	23	26	5	8	5	19	40	22	22	19	21	39	12	6	9	15	15	15
OTU_1460	5	3	1	0	2	4	2	3	1	1	2	5	2	1	2	3	3	3
OTU_125	44	37	38	33	21	32	34	68	42	36	31	53	34	15	55	38	41	68
OTU_652	4	20	0	2	2	7	3	5	2	6	4	5	3	19	6	2	8	8
