Class	KO	KO	KO	KO	KO	KO	OE	OE	OE	OE	OE	OE	WT	WT	WT	WT	WT	WT
k__Bacteria	63.4	62.6	68.2	68.6	72.6	65.9	54.3	58.6	63.7	62.8	62.3	55.0	66.8	70.7	60.6	64.1	70.3	63.8
k__Bacteria|p__Actinobacteria	16.4	27.6	18.9	20.9	12.1	15.4	17.0	21.4	22.9	18.3	20.2	16.6	25.0	22.6	21.4	24.1	25.0	21.0
k__Bacteria|p__Bacteroidetes	1.4	1.1	6.5	1.9	3.9	1.6	1.7	6.3	6.0	4.5	2.2	1.4	3.4	3.7	2.8	1.6	3.2	4.3
k__Bacteria|p__Chloroflexi	0.6	0.5	0.2	0.5	0.6	0.3	0.4	1.1	0.2	0.6	1.0	0.6	2.6	0.2	0.5	0.5	1.1	0.8
k__Bacteria|p__Firmicutes	0.5	0.4	0.1	0.2	0.1	0.3	2.0	0.7	1.0	1.1	0.5	2.2	0.2	0.1	0.3	0.2	0.1	0.2
k__Bacteria|p__Proteobacteria	44.4	33.0	42.5	45.0	55.9	48.3	33.2	28.9	33.6	38.2	38.4	34.2	35.7	44.1	35.7	37.9	40.9	37.5
k__Bacteria|p__Actinobacteria|c__Actinobacteria	16.4	27.6	18.9	20.9	12.1	15.4	17.0	21.4	22.9	18.3	20.2	16.6	25.0	22.6	21.4	24.1	25.0	21.0
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0.1	0.1	0.0	0.1	0.0	0.0	0.3	0.2	0.3	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.1	0.2
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.2	1.0	6.4	1.8	3.9	1.6	1.1	6.0	5.4	4.0	1.8	1.1	3.0	3.3	2.4	1.2	3.0	4.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.3	0.3	0.2	0.1	0.2	0.3	0.2	0.2	0.1	0.1
k__Bacteria|p__Chloroflexi|c__Chloroflexia	0.3	0.3	0.2	0.4	0.5	0.2	0.2	1.0	0.1	0.5	0.9	0.5	2.5	0.2	0.3	0.4	1.1	0.8
k__Bacteria|p__Chloroflexi|c__Unassigned	0.3	0.2	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1
k__Bacteria|p__Firmicutes|c__Bacilli	0.5	0.4	0.1	0.2	0.1	0.3	2.0	0.7	1.0	1.1	0.5	2.2	0.2	0.1	0.3	0.2	0.1	0.2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9.1	8.8	12.9	11.7	13.4	11.1	9.0	7.7	6.7	7.7	10.4	8.7	6.6	8.3	7.8	8.0	9.4	8.6
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	22.7	15.9	20.6	23.4	29.9	25.5	13.1	11.3	16.8	17.6	16.1	14.3	17.7	21.2	16.2	18.0	18.4	17.1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.5	1.4	1.1	1.3	0.8	3.0	1.1	0.8	1.3	1.7	0.9	0.8	1.3	0.9	0.8	1.2	0.9	0.8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.6	4.3	5.9	6.8	9.1	6.4	6.8	6.8	6.9	9.0	8.4	7.5	7.9	11.3	7.4	8.2	9.5	7.9
k__Bacteria|p__Proteobacteria|c__Unassigned	2.4	2.5	1.9	1.8	2.7	2.3	3.3	2.4	1.9	2.3	2.6	2.8	2.2	2.3	3.5	2.5	2.7	3.1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	16.3	27.5	18.8	20.9	12.1	15.3	16.9	21.3	22.8	18.2	20.1	16.4	24.9	22.5	21.3	24.0	24.9	20.9
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Unassigned	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0.1	0.1	0.0	0.1	0.0	0.0	0.3	0.2	0.3	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.1	0.2
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.2	1.0	6.4	1.8	3.9	1.6	1.1	6.0	5.4	4.0	1.8	1.1	3.0	3.3	2.4	1.2	3.0	4.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.3	0.3	0.2	0.1	0.2	0.3	0.2	0.2	0.1	0.1
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales	0.3	0.3	0.2	0.4	0.5	0.2	0.2	1.0	0.1	0.5	0.9	0.5	2.5	0.2	0.3	0.4	1.1	0.8
k__Bacteria|p__Chloroflexi|c__Unassigned|o__Unassigned	0.3	0.2	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.5	0.4	0.1	0.2	0.1	0.3	2.0	0.7	1.0	1.1	0.5	2.2	0.2	0.1	0.3	0.2	0.1	0.2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.7	0.6	0.7	0.5	0.7	0.7	0.4	0.3	0.3	0.3	0.5	0.4	0.4	0.5	0.3	0.4	0.5	0.5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	7.1	7.0	9.8	9.0	10.5	8.9	7.2	6.3	5.4	6.1	8.5	7.0	5.2	6.6	6.4	6.2	7.5	7.0
