richness	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1	104	109	112	106	106	113	98	97	92	106	104	114	100	95	108	108	101	105
2	200	211	200	194	184	206	219	201	190	208	202	216	186	177	200	204	170	210
3	299	294	266	268	239	285	305	308	295	298	287	322	258	243	302	292	238	298
4	370	384	344	334	307	368	418	424	367	368	390	422	316	308	393	372	315	374
5	456	461	409	403	360	447	519	494	446	449	463	504	386	374	472	452	388	456
6	541	545	465	464	427	492	609	585	513	528	562	606	448	435	555	504	430	536
7	619	618	521	528	462	564	711	669	568	610	625	696	528	498	622	584	492	582
8	699	685	575	588	506	640	799	736	660	693	686	796	586	543	699	650	558	677
9	790	735	615	651	564	701	914	845	709	785	772	866	661	601	787	700	627	757
10	860	804	675	701	610	748	1031	926	787	865	844	982	706	664	853	762	661	841
11	940	877	722	732	633	783	1135	993	859	955	924	1068	789	719	904	827	726	914
12	1021	917	770	770	683	829	1242	1100	918	1025	1006	1161	825	770	976	865	789	956
13	1079	982	809	794	714	878	1306	1161	967	1072	1084	1260	875	810	1003	919	840	1003
14	1132	1051	847	834	747	919	1399	1256	1037	1119	1151	1337	918	868	1051	962	889	1054
15	1180	1112	884	860	770	955	1443	1312	1137	1195	1228	1413	983	891	1144	1022	909	1094
16	1230	1168	922	908	785	975	1507	1387	1199	1242	1312	1442	1035	923	1152	1059	965	1145
17	1272	1265	980	934	837	1040	1559	1475	1272	1300	1377	1534	1084	964	1216	1117	999	1179
18	1340	1310	1002	980	874	1062	1642	1508	1333	1346	1429	1595	1139	1009	1269	1157	1062	1237
19	1382	1351	1033	1013	891	1130	1680	1577	1390	1394	1476	1616	1173	1070	1321	1205	1096	1279
20	1421	1397	1068	1040	935	1160	1727	1626	1474	1422	1518	1712	1237	1109	1355	1260	1139	1360
21	1457	1455	1133	1108	968	1227	1759	1658	1508	1475	1545	1735	1273	1172	1446	1286	1213	1389
22	1478	1511	1154	1141	1008	1292	1823	1701	1547	1520	1582	1772	1323	1198	1489	1347	1249	1464
23	1521	1536	1204	1202	1045	1299	1845	1768	1601	1556	1630	1820	1384	1257	1536	1400	1300	1497
24	1551	1584	1236	1213	1080	1349	1885	1783	1656	1596	1673	1863	1461	1294	1616	1458	1355	1551
25	1585	1625	1296	1257	1104	1402	1923	1810	1675	1638	1701	1877	1508	1345	1661	1493	1364	1622
26	1611	1624	1281	1310	1160	1440	1940	1825	1727	1682	1728	1915	1553	1387	1674	1543	1458	1661
27	1629	1663	1347	1344	1183	1496	1984	1868	1730	1684	1766	1949	1611	1423	1746	1597	1473	1697
28	1656	1699	1376	1381	1202	1526	2001	1899	1771	1720	1807	1978	1639	1481	1800	1636	1526	1720
29	1703	1712	1401	1442	1245	1542	2025	1921	1814	1747	1810	1999	1677	1525	1834	1682	1541	1780
