Source	Target	Correlation
SERPINB2	IL13RA2	0.506687972303983
SERPINB2	SCG5	0.489745011522596
SERPINB2	MMP3	0.500560423546861
SERPINB2	EFHD1	0.478358356364584
SERPINB2	MYOZ2	0.487058888859981
SERPINB2	CLCA2	0.489515070519776
SERPINB2	CLGN	0.491367029999196
SERPINB2	CDH10	0.470416122901712
SERPINB2	SEMA3A	0.483814477353127
SERPINB2	CELF2	0.486634171962622
SERPINB2	NGF	0.480689034270052
SERPINB2	NR3C2	0.482363100500065
SERPINB2	IL33	0.485125611134686
SERPINB2	ADM	0.510967402258013
SERPINB2	IL12A	0.489904371947252
SERPINB2	MFAP3L	0.488211006943993
SERPINB2	CCND2	0.487570557708568
SERPINB2	RDH10	0.477266565095757
SERPINB2	PPP2R2C	0.492122976993017
LGALS3BP	DHCR7	0.461500751299036
LGALS3BP	NT5DC2	0.444645101497844
LGALS3BP	MFAP2	0.475362509760199
LGALS3BP	EIF3G	0.464172513753762
LGALS3BP	MRPL43	0.45189956032299
LGALS3BP	WARS	0.48035251716728
LGALS3BP	SLC25A6	0.462490908329199
LGALS3BP	ARL2	0.455702008425654
LGALS3BP	PNN	0.433987724508325
LGALS3BP	TGFB1I1	0.487020895939212
LGALS3BP	LETMD1	0.450882296403835
LGALS3BP	NTM	0.464375217813656
LGALS3BP	PACSIN2	0.43444424533257
LGALS3BP	AACS	0.45554781118544
LGALS3BP	TRIM28	0.458450658936362
LGALS3BP	COL1A2	0.474937490650822
LGALS3BP	MANBA	0.448621558705902
LGALS3BP	WDR13	0.454535946407707
LGALS3BP	CDK4	0.468135933633899
GBP2	COL15A1	0.294478999657652
GBP2	METTL7A	0.308006317281585
GBP2	ICK	0.289096357897078
GBP2	THBS2	0.284373549939907
GBP2	ALG13	0.286309043470069
GBP2	COL14A1	0.307527219376843
GBP2	ATM	0.285608684109127
GBP2	DDIT4L	0.282161177618143
GBP2	LMO7	0.282802383179189
GBP2	MAML1	0.289504974458783
GBP2	RBM12	0.29611044244557
GBP2	NEDD9	0.318200869073698
GBP2	ACADM	0.290058813799874
GBP2	STX1B	0.310327088548517
GBP2	LUM	0.286497298900425
GBP2	EFNB2	0.291496487901727
GBP2	ACSL4	0.281715392580307
GBP2	NHS	0.283176881678697
GBP2	EIF3A	0.267295887914947
DHCR7	NT5DC2	0.446535430317413
DHCR7	MFAP2	0.469255123945713
DHCR7	EIF3G	0.46039439581813
DHCR7	MRPL43	0.454096242263429
DHCR7	WARS	0.476266917120042
DHCR7	SLC25A6	0.460908887285883
DHCR7	ARL2	0.460086455615217
DHCR7	PNN	0.444854838397748
DHCR7	TGFB1I1	0.491777095111463
DHCR7	LETMD1	0.46229178835513
DHCR7	NTM	0.467707119713249
DHCR7	PACSIN2	0.458364024151424
DHCR7	AACS	0.454038439969158
DHCR7	TRIM28	0.458213527842694
DHCR7	COL1A2	0.462750556575638
DHCR7	MANBA	0.451294881357985
DHCR7	WDR13	0.454221293339178
DHCR7	CDK4	0.455012340791202
AEBP1	HMGCS1	0.48263377123324
AEBP1	HMGCR	0.472176068453126
AEBP1	MSMO1	0.462298545509293
AEBP1	MFAP4	0.452362303386398
AEBP1	DPYSL3	0.461079127703994
AEBP1	BGN	0.470426361770406
AEBP1	TMEM97	0.477592336536635
AEBP1	TMEM119	0.473189534577057
AEBP1	COL8A2	0.481294951315771
AEBP1	FADS2	0.47397908464507
AEBP1	SQLE	0.475914282310543
AEBP1	EBP	0.466064532984148
AEBP1	PDGFRB	0.486388125379807
AEBP1	ACSS2	0.474175458340949
AEBP1	FBLN1	0.474657859824256
AEBP1	FASN	0.4558970371731
AEBP1	FDFT1	0.474509730767413
AEBP1	PCSK9	0.462343982005627
AEBP1	FDPS	0.474934710301068
IL13RA2	SCG5	0.501008150576677
IL13RA2	MMP3	0.503674526497009
IL13RA2	EFHD1	0.495540777460483
IL13RA2	MYOZ2	0.504871301044073
IL13RA2	CLCA2	0.501867172239509
IL13RA2	CLGN	0.500341715578293
IL13RA2	CDH10	0.48599179376529
IL13RA2	SEMA3A	0.499300446826253
IL13RA2	CELF2	0.503545879214691
IL13RA2	NGF	0.494728150729302
IL13RA2	NR3C2	0.50179411650376
IL13RA2	IL33	0.499548173253026
IL13RA2	ADM	0.500102592310396
IL13RA2	IL12A	0.503262438760661
IL13RA2	MFAP3L	0.485708706709973
IL13RA2	CCND2	0.505478854915374
IL13RA2	RDH10	0.485094723366794
IL13RA2	PPP2R2C	0.501362870830037
SCG5	MMP3	0.496321693974367
SCG5	EFHD1	0.472615856191162
SCG5	MYOZ2	0.484199498137501
SCG5	CLCA2	0.485918193936833
SCG5	CLGN	0.483712678304942
SCG5	CDH10	0.470850009044557
SCG5	SEMA3A	0.479226140705825
SCG5	CELF2	0.479242524650493
SCG5	NGF	0.483098248165898
SCG5	NR3C2	0.480406366173778
SCG5	IL33	0.476052769441939
SCG5	ADM	0.50493679859056
SCG5	IL12A	0.482659272322354
SCG5	MFAP3L	0.48027195552902
SCG5	CCND2	0.481139894892878
SCG5	RDH10	0.466868184902813
SCG5	PPP2R2C	0.48259659584314
HMGCS1	HMGCR	0.490800916780408
HMGCS1	MSMO1	0.46093715943247
HMGCS1	MFAP4	0.457756135411602
HMGCS1	DPYSL3	0.475306668444453
HMGCS1	BGN	0.47975734381531
HMGCS1	TMEM97	0.463383649523042
HMGCS1	TMEM119	0.482007424528506
HMGCS1	COL8A2	0.462489750283631
HMGCS1	FADS2	0.486356320674185
HMGCS1	SQLE	0.487595728324408
HMGCS1	EBP	0.472929427740507
HMGCS1	PDGFRB	0.502184909680346
HMGCS1	ACSS2	0.465922280929644
HMGCS1	FBLN1	0.477383613238893
HMGCS1	FASN	0.465667726724672
HMGCS1	FDFT1	0.467921673444075
HMGCS1	PCSK9	0.455257907284794
HMGCS1	FDPS	0.46814375242723
COL15A1	METTL7A	0.290948369447971
COL15A1	ICK	0.30194529594562
COL15A1	THBS2	0.27817280278319
COL15A1	ALG13	0.281196480293971
COL15A1	COL14A1	0.283527272819226
COL15A1	ATM	0.28029933823174
COL15A1	DDIT4L	0.292938901216897
COL15A1	LMO7	0.288268499154972
COL15A1	MAML1	0.290280707222697
COL15A1	RBM12	0.296412251701561
COL15A1	NEDD9	0.322166610640927
COL15A1	ACADM	0.295983666837089
COL15A1	STX1B	0.292246075166921
COL15A1	LUM	0.284904275719566
COL15A1	EFNB2	0.291486389388446
COL15A1	ACSL4	0.27857400795336
COL15A1	NHS	0.286653885561538
COL15A1	EIF3A	0.270551336712785
HMGCR	MSMO1	0.472737857166156
HMGCR	MFAP4	0.457862344011326
HMGCR	DPYSL3	0.466929865255451
HMGCR	BGN	0.46762131611451
HMGCR	TMEM97	0.489324088102401
HMGCR	TMEM119	0.471261492707685
HMGCR	COL8A2	0.478947658452694
HMGCR	FADS2	0.476093903900139
HMGCR	SQLE	0.48214321728458
HMGCR	EBP	0.464525710534218
HMGCR	PDGFRB	0.490354357949292
HMGCR	ACSS2	0.473528196691204
HMGCR	FBLN1	0.475141920277648
HMGCR	FASN	0.456381479786906
HMGCR	FDFT1	0.484870653709823
HMGCR	PCSK9	0.462676611477208
HMGCR	FDPS	0.47796379668114
MMP3	EFHD1	0.483251973028645
MMP3	MYOZ2	0.49542160668913
MMP3	CLCA2	0.495423079095711
MMP3	CLGN	0.488633340682943
MMP3	CDH10	0.478726864832804
MMP3	SEMA3A	0.486163007161332
MMP3	CELF2	0.496306023654865
MMP3	NGF	0.494028333773362
MMP3	NR3C2	0.488270915256586
MMP3	IL33	0.491766528046837
MMP3	ADM	0.501948373203321
MMP3	IL12A	0.497307607058258
MMP3	MFAP3L	0.476027152566275
MMP3	CCND2	0.498048308802319
MMP3	RDH10	0.467632376246678
MMP3	PPP2R2C	0.493426143346908
NT5DC2	MFAP2	0.477779028439331
NT5DC2	EIF3G	0.459973953061677
NT5DC2	MRPL43	0.460967901645864
NT5DC2	WARS	0.479082827993211
NT5DC2	SLC25A6	0.459377552068938
NT5DC2	ARL2	0.455785552790157
NT5DC2	PNN	0.449629609308344
NT5DC2	TGFB1I1	0.481293130629937
NT5DC2	LETMD1	0.440329077094416
NT5DC2	NTM	0.452479131230028
NT5DC2	PACSIN2	0.431461045011627
NT5DC2	AACS	0.456968924972704
NT5DC2	TRIM28	0.449002912373874
NT5DC2	COL1A2	0.477432184679992
NT5DC2	MANBA	0.440507026934179
NT5DC2	WDR13	0.445028002027572
NT5DC2	CDK4	0.469279449340015
MSMO1	MFAP4	0.43854042453108
MSMO1	DPYSL3	0.453504031850192
MSMO1	BGN	0.453452629767339
MSMO1	TMEM97	0.45841321398013
MSMO1	TMEM119	0.456418833410971
MSMO1	COL8A2	0.449718200517731
MSMO1	FADS2	0.462046314104198
MSMO1	SQLE	0.46654002181699
MSMO1	EBP	0.445626242453703
MSMO1	PDGFRB	0.476790796227521
MSMO1	ACSS2	0.444323000129167
MSMO1	FBLN1	0.453924663229562
MSMO1	FASN	0.437451159253661
MSMO1	FDFT1	0.449991424607489
MSMO1	PCSK9	0.433346531488701
MSMO1	FDPS	0.449875760456293
EFHD1	MYOZ2	0.468184439487213
EFHD1	CLCA2	0.46880471185981
EFHD1	CLGN	0.480776447393258
EFHD1	CDH10	0.454523629068247
EFHD1	SEMA3A	0.465964413907145
EFHD1	CELF2	0.472518854031625
EFHD1	NGF	0.452225365363178
EFHD1	NR3C2	0.459875797652934
EFHD1	IL33	0.467586292810957
EFHD1	ADM	0.495243139627954
EFHD1	IL12A	0.472912125637193
EFHD1	MFAP3L	0.485805735179357
EFHD1	CCND2	0.469807209389681
EFHD1	RDH10	0.466744937549519
