Node1	Module1	weight
IL13RA2	blue	145.556614142983
ADM	blue	145.101190651942
MFAP3L	blue	142.698754383228
MMP3	blue	142.160689182202
CLGN	blue	140.506506077018
SCG5	blue	140.057186198829
SERPINB2	blue	139.201180783903
CELF2	blue	138.252148674033
MYOZ2	blue	138.216156297312
PPP2R2C	blue	138.121734874031
IL12A	blue	137.888629503007
RDH10	blue	137.833315741889
CLCA2	blue	137.720396123848
CCND2	blue	137.576395979984
CDH10	blue	137.158004341146
NR3C2	blue	136.868917480088
SEMA3A	blue	136.691467473471
NGF	blue	136.37845753907
IL33	blue	136.277914974654
EFHD1	blue	133.482647445545
TGFB1I1	brown	111.467609443152
COL1A2	brown	111.057975283566
MFAP2	brown	109.679927134913
CDK4	brown	109.581370173776
WARS	brown	108.896251359109
MRPL43	brown	107.131350237149
NTM	brown	107.057055931136
SLC25A6	brown	106.208192700251
LGALS3BP	brown	105.916836675779
DHCR7	brown	105.820026543993
ARL2	brown	105.414801661509
TRIM28	brown	105.351873146715
NT5DC2	brown	104.877968662501
AACS	brown	104.583360006236
LETMD1	brown	104.309607139581
WDR13	brown	103.556410582541
MANBA	brown	102.672653518114
EIF3G	brown	100.163332732515
PNN	brown	99.0680171287466
PACSIN2	brown	99.0499325614101
SERINC1	green	87.0135283052547
DTWD1	green	84.1340090026052
FAM3C	green	83.6250143866735
ABI3BP	green	83.5583553787227
TMEM131	green	83.2282487689969
SLC35F5	green	82.818341935379
RNF6	green	82.6729864043704
ITGA6	green	82.6234363819947
UBXN8	green	82.5630506653658
SNAPC1	green	82.2572843253102
ADAM9	green	81.9724571414475
STARD3NL	green	81.7261796786867
PLOD2	green	81.296235158406
SLC19A2	green	81.0705612533671
ERO1L	green	80.853523435056
C1GALT1	green	80.1615094709394
EIF2AK3	green	79.9501190373041
CDO1	green	79.9240302368231
SPP1	green	79.7674402019763
ATP13A3	green	79.7561386683096
GHSR	grey	3.54678698915476
P2RX2	grey	3.38472206164981
CD101	grey	3.33125307743378
PTPRR	grey	3.31374211492816
RGL3	grey	3.27889247372885
DCHS2	grey	3.22804605514878
SORBS1	grey	3.19668048742342
TREML2	grey	3.05552771721082
SCP2D1	grey	3.03049338276
NEUROD2	grey	2.9264075514227
TNNT3	grey	2.91698126205004
ASB17	grey	2.86052622079409
KLC4	grey	2.69744468374298
N4BP2	grey	2.59739141861802
OPRM1	grey	2.58822863949104
RAB3D	grey	2.57610830410396
NUDT13	grey	2.57088771774233
SERPINE3	grey	2.56696584715422
BPIFB3	grey	2.55566778333654
SOX18	grey	2.515634598343
ICK	red	29.9779225343888
COL14A1	red	29.7052279003683
LUM	red	29.699027839936
MAML1	red	29.4537060775732
RBM12	red	29.341406205582
ACSL4	red	28.5570152612482
NHS	red	28.173578158385
ATM	red	28.0281739058067
ALG13	red	28.0071036202578
NEDD9	red	27.9273100739627
EFNB2	red	27.7588253578019
LMO7	red	27.7012510653933
ACADM	red	27.6162143519131
COL15A1	red	27.454230287688
GBP2	red	27.3744116400734
THBS2	red	27.3307697441565
DDIT4L	red	27.2012139253123
METTL7A	red	26.6745312876108
STX1B	red	26.3755214319247
EIF3A	red	26.1979963628294
PDGFRB	turquoise	152.14051744991
HMGCR	turquoise	150.636962678215
FADS2	turquoise	150.592888719481
DPYSL3	turquoise	150.573627260742
EBP	turquoise	150.100412266102
SQLE	turquoise	149.753592968866
TMEM119	turquoise	148.544497627886
AEBP1	turquoise	148.507171192801
BGN	turquoise	145.920046682976
MFAP4	turquoise	145.165699299887
FASN	turquoise	145.127884003678
FBLN1	turquoise	145.015840407362
FDPS	turquoise	144.943730793519
ACSS2	turquoise	144.760919078837
FDFT1	turquoise	144.523152959768
MSMO1	turquoise	142.032123060759
COL8A2	turquoise	141.897139550364
PCSK9	turquoise	141.825617917498
TMEM97	turquoise	141.671671469973
HMGCS1	turquoise	141.214783423697
PCDHB2	yellow	82.3748459228569
SFRP4	yellow	78.2089994919336
HIST1H2BD	yellow	77.8023070745394
FBXO32	yellow	76.8988454461592
CLDN23	yellow	76.3637677215885
PLD1	yellow	75.812025378393
TMEM140	yellow	74.7658100284118
GPRC5A	yellow	74.5030963463141
RBP4	yellow	74.3294420116793
SLC7A14	yellow	74.1498416675509
SNX10	yellow	72.9345651647953
GDF15	yellow	72.9057882032464
CXADR	yellow	72.3745247171444
LOXL3	yellow	72.2518734420456
BEND7	yellow	72.2178405169518
BAG1	yellow	70.8418414942439
THNSL1	yellow	70.6580420403132
ITGA8	yellow	70.4585920532301
KCNJ8	yellow	70.2181648021078
CCDC71	yellow	70.0449813731042
