ID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
OTU_1	1	3	0	0	2	2	2	0	0	4	0	0	0	0	0	0	2	0	0	0
OTU_2	0	0	4	8	0	0	0	4	3	0	0	4	5	4	4	7	0	0	0	5
OTU_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0
OTU_4	0	2	7	2	0	0	0	5	3	0	0	8	5	0	0	4	0	0	0	0
OTU_5	0	0	0	0	4	3	2	0	0	4	0	0	0	0	0	0	4	0	4	0
OTU_6	0	3	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
OTU_7	0	4	0	3	2	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
OTU_11	0	0	0	0	0	0	0	4	0	0	0	0	0	4	5	8	0	0	0	4
OTU_12	4	4	4	4	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
OTU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	5	0
OTU_15	0	0	0	0	0	0	0	4	4	0	0	0	0	0	3	3	0	0	0	4
OTU_16	0	0	0	0	0	0	2	0	4	0	0	4	3	0	0	0	0	0	0	0
OTU_17	7	5	6	5	2	6	6	4	2	6	7	0	0	0	0	0	0	2	0	0
OTU_18	0	0	0	0	5	5	5	0	0	3	3	0	0	0	0	0	2	3	0	0
OTU_19	4	4	5	4	2	3	4	4	4	4	4	0	2	0	0	0	1	3	0	0
OTU_20	2	7	6	5	6	4	5	4	5	4	0	4	9	0	0	2	0	0	0	0
OTU_21	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	2	0	0	0	4
OTU_22	0	0	0	0	5	6	3	0	2	0	0	2	0	0	0	0	0	0	0	0
OTU_23	0	0	0	5	0	0	0	2	2	0	2	4	2	0	0	0	0	0	3	0
OTU_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5
OTU_25	0	5	2	2	3	3	3	3	2	3	5	2	2	2	2	0	2	5	6	2
OTU_26	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_27	0	5	2	1	2	5	2	2	3	6	3	3	2	6	1	0	0	2	2	0
OTU_28	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0
OTU_29	0	0	2	2	2	6	2	2	2	2	4	4	0	0	4	4	0	6	3	4
OTU_30	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	3

