ID	ID.1	baseMean	log2FoldChange	padj	Label	Level
1	SPARCL1	983	-4.5	2.149e-87	-	groupB UP
2	MAOA	2391.5	-3.3	8.779e-57	-	groupB UP
3	AC129492.1	757.2	-3	1.432e-50	-	groupB UP
4	ARHGEF2	2242.4	1	1.745e-45	-	groupA UP
5	DUSP1	3386.4	-2.9	6.807e-45	-	groupB UP
6	PHC2	2884.8	-1.4	5.427e-42	-	groupB UP
7	SAMHD1	14071.9	-3.8	7.839e-41	-	groupB UP
8	STOM	13502	-1.4	1.157e-40	-	groupB UP
9	KCTD12	2634.8	2.4	2.588e-40	-	groupA UP
10	SMIM3	1120.4	-1.3	5.008e-39	-	groupB UP
11	FKBP5	2594.7	-3.9	3.412e-38	-	groupB UP
12	ZBTB16	433.6	-6.4	1.333e-37	-	groupB UP
13	NEXN	5581.8	-2	1.968e-35	-	groupB UP
14	NNMT	7499	-2.2	4.228e-35	-	groupB UP
15	MT2A	3686.1	-2.2	2.23e-32	-	groupB UP
16	MT1X	190.9	-3.2	2.991e-32	-	groupB UP
17	MORF4L2	4977.3	-1	2.718e-31	-	groupB UP
18	SLC6A9	235.8	2.3	8.934e-31	-	groupA UP
19	GXYLT2	793.1	1.8	5.779e-30	-	groupA UP
20	CCDC69	2040.3	-2.8	2.239e-26	-	groupB UP
21	RAB7B	305.7	1.7	3.22e-26	-	groupA UP
22	GASK1B	6985.2	-1	4.083e-26	-	groupB UP
23	GLUL	19856.9	-3	3.076e-25	-	groupB UP
24	AFAP1L1	492.9	-1.8	3.69e-25	-	groupB UP
25	NEK10	158.1	2.5	4.559e-25	-	groupA UP
26	LINC00702	110.7	-4.3	4.559e-25	-	groupB UP
27	FAM171B	1308.9	1.3	8.072e-25	-	groupA UP
28	PNPLA2	2555.1	-1.1	1.473e-24	-	groupB UP
29	VCAM1	504.2	3.5	1.605e-24	-	groupA UP
30	TIMP4	192.2	-2.9	1.77e-24	-	groupB UP
31	STEAP1	1864.4	-1.5	1.241e-23	-	groupB UP
