ID	baseMean	log2FoldChange	padj	Label	Level
SPARCL1	983	-4.5	2.149e-87	-	treat_DW
MAOA	2391.5	-3.3	8.779e-57	-	treat_DW
AC129492.1	757.2	-3	1.432e-50	-	treat_DW
ARHGEF2	2242.4	1	1.745e-45	-	treat_UP
DUSP1	3386.4	-2.9	6.807e-45	-	treat_DW
PHC2	2884.8	-1.4	5.427e-42	-	treat_DW
SAMHD1	14071.9	-3.8	7.839e-41	-	treat_DW
STOM	13502	-1.4	1.157e-40	-	treat_DW
KCTD12	2634.8	2.4	2.588e-40	-	treat_UP
SMIM3	1120.4	-1.3	5.008e-39	-	treat_DW
FKBP5	2594.7	-3.9	3.412e-38	-	treat_DW
ZBTB16	433.6	-6.4	1.333e-37	-	treat_DW
NEXN	5581.8	-2	1.968e-35	-	treat_DW
NNMT	7499	-2.2	4.228e-35	-	treat_DW
MT2A	3686.1	-2.2	2.23e-32	-	treat_DW
MT1X	190.9	-3.2	2.991e-32	-	treat_DW
MORF4L2	4977.3	-1	2.718e-31	-	treat_DW
SLC6A9	235.8	2.3	8.934e-31	-	treat_UP
GXYLT2	793.1	1.8	5.779e-30	-	treat_UP
CCDC69	2040.3	-2.8	2.239e-26	-	treat_DW
RAB7B	305.7	1.7	3.22e-26	-	treat_UP
GASK1B	6985.2	-1	4.083e-26	-	treat_DW
GLUL	19856.9	-3	3.076e-25	-	treat_DW
AFAP1L1	492.9	-1.8	3.69e-25	-	treat_DW
NEK10	158.1	2.5	4.559e-25	-	treat_UP
LINC00702	110.7	-4.3	4.559e-25	-	treat_DW
FAM171B	1308.9	1.3	8.072e-25	-	treat_UP
PNPLA2	2555.1	-1.1	1.473e-24	-	treat_DW
VCAM1	504.2	3.5	1.605e-24	-	treat_UP
TIMP4	192.2	-2.9	1.77e-24	-	treat_DW
STEAP1	1864.4	-1.5	1.241e-23	-	treat_DW
ERRFI1	3247.4	-2.4	1.367e-23	-	treat_DW
KLF15	561.7	-4.5	1.695e-23	-	treat_DW
CACNB2	559.4	-3.1	1.933e-22	-	treat_DW
SERPINA3	2707.5	-3.3	1.28e-21	-	treat_DW
RAP2B	651.2	1.2	1.776e-21	-	treat_UP
IRS2	2184.9	-2.1	9.158e-21	-	treat_DW
KLF9	1700.1	-2.1	1.039e-20	-	treat_DW
HPS5	1002.7	-1.6	1.489e-20	-	treat_DW
CRISPLD2	3092.4	-2.6	2.782e-20	-	treat_DW
TSLP	151.8	2.7	3.043e-20	-	treat_UP
GPX3	12475.1	-3.7	3.301e-20	-	treat_DW
MFAP4	27096.7	0.9	7.621e-20	-	NoDiff
TENT5B	70	-2.3	1.094e-19	-	treat_DW
COL1A1	100416	1.2	1.418e-19	-	treat_UP
PHLDA1	2774.5	1	1.72e-19	-	treat_UP
CDIPT	3322.3	-0.8	2.283e-19	-	NoDiff
JADE1	1754.1	-1.2	4.006e-19	-	treat_DW
DNM1	1032.1	1.9	4.343e-19	-	treat_UP
ABAT	524.1	-1	7.431e-19	-	treat_DW
ANXA6	14124.5	-0.9	9.717e-19	-	NoDiff
IMPA2	612	-2.2	1.506e-18	-	treat_DW
SLC6A6	731.2	1.9	2.016e-18	-	treat_UP
APBB2	2407.2	-1	2.392e-18	-	treat_DW
MT1E	554.1	-2.1	3.576e-18	-	treat_DW
TSC22D3	2228.3	-3.3	6.358e-18	-	treat_DW
SOX4	1275.1	2.3	8.709e-18	-	treat_UP
FZD8	145.4	-2.4	1.297e-17	-	treat_DW
STEAP2	3039.9	-2	1.995e-17	-	treat_DW
HIGD1A	2414.2	-1.2	3.922e-17	-	treat_DW
CEBPD	1940.3	-1.5	5.571e-17	-	treat_DW
ANXA4	4884	-1.1	6.506e-17	-	treat_DW
ACSL1	1456	-1.6	8.879e-17	-	treat_DW
CREB3L1	2767.2	0.9	8.879e-17	-	NoDiff
SLC7A6	1677.2	-1.4	1.049e-16	-	treat_DW
CRABP2	1494.1	1.7	1.094e-16	-	treat_UP
MINDY2	1478.2	-1	1.343e-16	-	treat_DW
