ID	weight_g	length_cm	ab_fat	other_fat	total_fat	X100xfat_weight	Trigly	Total_Chol	HDL_Chol	UC	FFA	Glucose	LDL_plus_VLDL	MCP_1_phys	Insulin_ug_l	Glucose_Insulin	Leptin_pg_ml	Adiponectin	Aortic.lesions	Aneurysm	Aortic_cal_M	Aortic_cal_L	CoronaryArtery_Cal	Myocardial_cal	BMD_all_limbs	BMD_femurs_only
F2_2	38	10.5	3.81	2.78	6.59	17.3421052631579	14	1646	34	668	132	499	1612	202.82	0	0	0	0	224500	56	5	0	0	0	0	0
F2_3	33.5	10.8	1.7	2.05	3.75	11.1940298507463	109	1216	27	402	96	397	1189	138.232	944	0.420550847457627	15148.76	14.339	296250	8	4	0	0	0	0	0
F2_14	33.9	10	1.29	1.67	2.96	8.73156342182891	2	834	17	354	98	424	817	161.552	632	0.670886075949367	6188.74	15.439	486313	27	12	0	1	8	0	0
F2_15	44.3	10.3	3.62	3.34	6.96	15.7110609480813	71	1565	41	536	111	557	1524	115.5	3326	0.167468430547204	18400.26	11.124	180750	0	0	0	0	4	0	0
F2_19	32.9	9.7	2.08	1.85	3.93	11.9452887537994	55	1060	41	411	115	382	1019	148.868	426	0.896713615023474	8438.7	16.842	113000	0	0	0	0	0	0	0
F2_20	44.8	10.3	3.72	3.2	6.92	15.4464285714286	34	1172	39	448	111	456	1133	126.012	2906	0.15691672401927	41801.54	13.498	166750	6	0	0	0	0	0	0
F2_23	36.9	10	2.07	2.8	4.87	13.1978319783198	198	1530	36	636	161	541	1494	97.506	920	0.58804347826087	24133.54	14.511	234000	28	8	0	0	0	0	0
F2_24	39.5	10	2.79	2.62	5.41	13.6962025316456	186	1434	23	517	122	465	1411	211.318	1895	0.245382585751979	52360	13.813	267500	33	8	0	0	1	0	0
F2_26	42.5	9.9	2.68	4.56	7.24	17.0352941176471	357	1758	56	644	169	663	1702	191.716	7293	0.0909090909090909	126880	14.118	198000	0	0	0	0	0	0	0
F2_37	25.7	9.4	0.42	0.6	1.02	3.96887159533074	109	1305	23	443	97	430	1282	269.608	653	0.658499234303216	17100	12.47	121000	0	0	0	0	3	0	0
F2_42	39.4	10.2	2.99	2.8	5.79	14.6954314720812	233	1729	23	622	127	487	1706	111.21	1364	0.357038123167155	99220	14.531	110000	42	14	0	0	0	0	0
F2_43	35.3	10.7	1.32	1.56	2.88	8.1586402266289	77	1258	22	430	86	412	1236	92.86	1340	0.307462686567164	50500	9.735	327250	0	0	0	0	0	0	0
F2_45	45.8	10.4	4.13	2.9	7.03	15.3493449781659	81	1140	36	445	112	501	1104	82.198	2183	0.229500687127806	1160	7.939	48250	18	1	0	0	1	0	0
F2_46	26.1	9.7	0.94	0.82	1.76	6.74329501915709	59	380	17	208	75	281	363	85.366	396	0.70959595959596	8540	12.404	322000	25	1	10	0	0	0	0
F2_47	23.9	9.2	0.67	0.9	1.57	6.56903765690377	87	978	32	461	129	544	946	78.006	844	0.644549763033175	37420	22.776	328250	42	3	0	0	0	0	0
F2_48	27.5	9.6	0.77	0.95	1.72	6.25454545454545	64	834	20	297	71	385	814	68.992	629	0.6120826709062	13880	14.31	292500	56	10	0	0	0	0	0
F2_51	37.9	10.5	1.87	3.56	5.43	14.3271767810026	101	1216	27	503	121	511	1189	100.8	819	0.623931623931624	78360	14.014	373250	34	2	5	0	1	0	0
F2_52	38.5	10.8	1.78	3.09	4.87	12.6493506493507	132	1888	33	646	119	635	1855	112.776	2692	0.235884101040119	37040	10.14	249000	0	0	0	0	0	0	0
F2_54	46.4	10.5	2.84	5.9	8.74	18.8362068965517	115	1296	31	484	127	488	1265	238.292	3544	0.137697516930023	162820	9.115	90500	24	6	0	0	0	0	0
F2_63	43.2	10.5	1.89	3.97	5.86	13.5648148148148	38	1508	43	582	136	489	1465	125.6	1860	0.262903225806452	73080	7.065	273250	48	4	0	0	0	0	0
F2_65	40.4	10.5	1.71	4.44	6.15	15.2227722772277	72	1492	36	456	91	466	1456	127.382	1125	0.414222222222222	88200	8.992	235250	33	0	0	0	0	0	0
F2_66	38.9	9.8	1.59	4.21	5.8	14.9100257069409	98	2014	36	695	131	568	1978	154.75	1343	0.422933730454207	84800	10.305	114500	23	6	0	0	0	0	0
