SampleID	Group	Site	richness	chao1	ACE	shannon	simpson	invsimpson
KO1	KO	Chaoyang	1228	1476.315789	1494.119503	5.878873506	0.9898457	98.48044671
KO2	KO	Chaoyang	1213	1494.985577	1492.27823	5.913946704	0.99125602	114.364397
KO3	KO	Changping	1064	1411.356757	1421.612869	5.578283412	0.98826392	85.20732647
KO4	KO	Changping	1054	1330.073034	1313.112334	5.597210601	0.98895158	90.51067936
KO5	KO	Haidian	967	1237.375	1259.944725	5.384227165	0.98532564	68.14607247
KO6	KO	Haidian	1144	1485.25	1445.300092	5.782705139	0.99095884	110.6052763
OE1	OE	Chaoyang	1338	1558.670732	1567.974303	6.201902579	0.99416184	171.2868438
OE2	OE	Chaoyang	1306	1503.421429	1556.266663	6.012971105	0.99166156	119.926509
OE3	OE	Changping	1221	1468.481013	1490.891358	5.790294599	0.98959938	96.14811425
OE4	OE	Changping	1235	1527.546296	1518.185504	5.895060418	0.99187628	123.0963155
OE5	OE	Haidian	1264	1465.311203	1484.579765	6.021852203	0.9928308	139.4855772
OE6	OE	Haidian	1330	1515.403846	1534.805716	6.205781388	0.99450748	182.0657913
WT1	WT	Chaoyang	1189	1463.542017	1505.241053	5.688400104	0.98847878	86.79636358
WT2	WT	Chaoyang	1102	1385.634615	1400.24143	5.481284541	0.98521548	67.63831359
WT3	WT	Changping	1264	1475.133858	1511.752381	5.996498519	0.99226214	129.234698
WT4	WT	Changping	1233	1481.226563	1541.810729	5.864171758	0.99082664	109.011311
WT5	WT	Haidian	1135	1408.813559	1465.692096	5.580731794	0.98808342	83.91669422
WT6	WT	Haidian	1226	1527.110599	1528.095202	5.875270863	0.99173208	120.9494044

