Sample	Boxplot_subgroup
Sample_33_0	Project3_RNAseq_T_cell_Treat
Sample_33_1	Project3_RNAseq_T_cell_Treat
Sample_33_2	Project3_RNAseq_T_cell_Treat
Sample_33_3	Project3_RNAseq_T_cell_Treat
Sample_33_4	Project3_RNAseq_T_cell_Treat
Sample_36_0	Project3_RNAseq_B_cell_Mock
Sample_36_1	Project3_RNAseq_B_cell_Mock
Sample_36_2	Project3_RNAseq_B_cell_Mock
Sample_36_3	Project3_RNAseq_B_cell_Mock
Sample_36_4	Project3_RNAseq_B_cell_Mock
Sample_38_0	Project3_RNAseq_BMDM_Mock
Sample_38_1	Project3_RNAseq_BMDM_Mock
Sample_38_2	Project3_RNAseq_BMDM_Mock
Sample_38_3	Project3_RNAseq_BMDM_Mock
Sample_38_4	Project3_RNAseq_BMDM_Mock
