ID	weight_g	length_cm	Glucose	Insulin_ug_l	Glucose_Insulin
F2_2	38	10.5	499	NA	NA
F2_3	33.5	10.8	397	944	0.420550847
F2_14	33.9	10	424	632	0.670886076
F2_15	44.3	10.3	557	3326	0.167468431
F2_19	32.9	9.7	382	426	0.896713615
F2_20	44.8	10.3	456	2906	0.156916724
F2_23	36.9	10	541	920	0.588043478
F2_24	39.5	10	465	1895	0.245382586
F2_26	42.5	9.9	663	7293	0.090909091
F2_37	25.7	9.4	430	653	0.658499234
F2_42	39.4	10.2	487	1364	0.357038123
F2_43	35.3	10.7	412	1340	0.307462687
F2_45	45.8	10.4	501	2183	0.229500687
F2_46	26.1	9.7	281	396	0.70959596
F2_47	23.9	9.2	544	844	0.644549763
F2_48	27.5	9.6	385	629	0.612082671
F2_51	37.9	10.5	511	819	0.623931624
F2_52	38.5	10.8	635	2692	0.235884101
F2_54	46.4	10.5	488	3544	0.137697517
F2_63	43.2	10.5	489	1860	0.262903226
F2_65	40.4	10.5	466	1125	0.414222222
F2_66	38.9	9.8	568	1343	0.42293373
F2_68	32	9.9	472	911	0.518111965
F2_69	34.9	9.9	292	560	0.521428571
F2_70	23.9	9.8	426	420	1.014285714
F2_71	40.9	10	497	NA	NA
F2_72	30.9	9.7	367	599	0.612687813
F2_78	37.1	10	436	1166	0.373927959
F2_79	38.7	11	435	1647	0.264116576
F2_80	42.7	10.5	394	3239	0.121642482
F2_81	33.7	10.2	355	1549	0.229180116
F2_83	39	10.5	522	1118	0.466905188
F2_86	34.8	10	334	2457	0.135938136
F2_87	32.5	10.5	265	766	0.345953003
F2_88	46	10.8	400	2852	0.140252454
F2_89	28.3	9.5	410	NA	NA
F2_107	43.6	10.3	308	627	0.49122807
F2_108	40.6	10.7	337	517	0.651837524
F2_109	43.6	10.3	290	954	0.303983229
F2_110	37.1	10.3	435	414	1.050724638
F2_111	33.8	10	364	1027	0.35443038
F2_112	26.8	10.5	361	610	0.591803279
F2_117	38	10.2	409	468	0.873931624
F2_119	40.3	10.2	406	583	0.696397942
F2_125	44.1	10.4	590	1233	0.478507705
F2_126	43.1	10.4	440	NA	NA
F2_127	33.4	9.9	498	457	1.089715536
F2_141	36	10.2	354	675	0.524444444
F2_142	24.5	9.9	324	728	0.445054945
F2_143	43.1	10.5	494	5353	0.0922847
F2_144	NA	NA	382	409	0.93398533
F2_145	NA	NA	388	569	0.681898067
F2_154	42.9	10.4	354	509	0.695481336
F2_155	31.8	10.2	321	439	0.731207289
F2_156	40.9	10.6	385	615	0.62601626
F2_157	22.2	9.8	227	407	0.557739558
F2_162	44.6	10	453	625	0.7248
F2_163	53.1	10.7	589	1370	0.429927007
F2_164	52.7	10.8	448	2677	0.167351513
F2_165	54.1	10.5	338	465	0.72688172
F2_166	32.1	9.9	393	1733	0.22677438
F2_167	29.4	10.7	274	326	0.840490798
F2_169	33.9	10.1	331	613	0.539967374
F2_180	41.8	10.2	413	1294	0.319165379
F2_181	31.2	10.2	339	385	0.880519481
F2_182	36	10.1	341	454	0.751101322
F2_187	40.9	10.3	402	2243	0.179224253
F2_188	31.5	10.4	326	733	0.444747613
F2_189	36.4	10.5	399	534	0.747191011
F2_190	41.4	10.5	416	2519	0.165144899
F2_191	40.9	10.4	511	2935	0.174105622
F2_192	41.4	10.2	291	1236	0.235436893
F2_194	38	10.3	445	670	0.664179104
F2_195	25.3	10.2	334	273	1.223443223
F2_200	45.6	10.8	478	1573	0.30387794
F2_201	50.1	10.7	373	5105	0.073065622
F2_212	35.4	9.8	393	547	0.718464351
F2_213	39.6	10.3	727	1129	0.643932684
F2_214	31	9.7	364	466	0.78111588
F2_215	46.3	10.4	478	6906	0.069215175
F2_222	NA	NA	385	582	0.661512027
F2_223	36.2	10.2	370	1151	0.3214596
F2_224	37.3	10	258	333	0.774774775
F2_225	34.1	9.8	229	310	0.738709677
F2_226	29	9.9	272	397	0.685138539
F2_227	36	10.3	419	807	0.519206939
F2_228	42.8	9.9	576	2797	0.20593493
F2_241	36.7	9.8	318	429	0.741258741
F2_242	38.9	9.9	413	869	0.475258918
F2_243	43.9	10.2	439	1075	0.408372093
F2_244	32.8	9.9	313	486	0.644032922
F2_245	42.7	10.4	537	2708	0.198301329
F2_247	40.9	10.3	483	615	0.785365854
F2_248	30.7	9.8	458	422	1.085308057
F2_261	39.6	10.3	475	1108	0.428700361
F2_263	36	10.1	519	NA	NA
F2_264	41.6	10.4	453	1529	0.296272073
F2_270	45.2	10.2	509	1979	0.257200606
F2_271	42.3	10	499	6357	0.078496146
F2_272	39.6	10	484	2545	0.190176817
F2_278	44.4	10.7	558	5091	0.109605186
F2_287	43.9	10.2	NA	NA	NA
F2_288	37.7	10.2	406	669	0.606875934
F2_289	37.2	10.2	469	1416	0.331214689
F2_290	36.9	9.9	437	924	0.472943723
F2_291	48.5	10.7	572	5781	0.098944819
F2_296	38.8	10.2	569	978	0.581799591
F2_298	33.4	10	568	560	1.014285714
F2_299	40	9.9	464	1151	0.403127715
F2_300	41.1	9.8	599	2823	0.212185618
F2_302	44	10.5	655	4506	0.14536174
F2_303	41.9	10.1	477	1596	0.29887218
F2_304	37.6	10.1	NA	NA	NA
F2_305	34.1	10.1	503	1094	0.459780622
F2_306	42.9	10.2	484	3533	0.136994056
F2_307	35.3	9.8	488	421	1.159144893
F2_308	40.5	10	575	3130	0.18370607
F2_309	40.7	10.9	417	821	0.507917174
F2_310	39.5	10.6	418	1082	0.386321627
F2_311	33.6	9.9	369	1206	0.305970149
F2_312	39.4	10.1	522	1073	0.486486486
F2_320	39.2	10.3	316	1022	0.309197652
F2_321	45.3	10.6	644	10335	0.06231253
F2_323	43	10.1	365	1134	0.321869489
F2_324	38.3	9.8	332	1480	0.224324324
F2_325	40.8	9.7	413	1721	0.239976758
F2_326	32.4	9.9	395	579	0.682210708
F2_327	40.5	10.1	442	1217	0.363188168
F2_328	36.1	9.7	376	947	0.397043295
F2_329	34	9.9	256	577	0.443674177
F2_330	34.4	10.6	338	591	0.571912014
F2_332	35.3	10.7	340	436	0.779816514
F2_355	40.9	10.4	358	829	0.431845597
F2_357	45.7	10.8	372	1795	0.20724234
