GOID	Ontology	Term	Level	q	m	t	k	log_odds_ratio	p
GO:0044699	biological_process	single-organism process	1	5781	18620	45240	13378	0.0702743835209307	8.14075020818532e-06
GO:0044763	biological_process	single-organism cellular process	2	4988	16172	45240	13378	0.0607717405081849	0.00292494464466067
GO:0007154	biological_process	cell communication	2	2169	6843	45240	13378	0.10013758458919	0.00732626105978966
GO:0007165	biological_process	signal transduction	5	1955	6136	45240	13378	0.107606603641991	0.00632562888994394
GO:0023052	biological_process	signaling	1	2100	6613	45240	13378	0.102820905267163	0.00659072708711282
GO:0044700	biological_process	single organism signaling	2	2100	6613	45240	13378	0.102820905267163	0.00659072708711282
GO:0050896	biological_process	response to stimulus	1	3251	10438	45240	13378	0.0748466330200461	0.0124720889544723
GO:0005515	molecular_function	protein binding	1	3299	10399	45240	13378	0.101392360946023	3.32133986696437e-05
GO:0005737	cellular_component	cytoplasm	3	4711	15220	45240	13378	0.065873357227223	0.00157517952693756
GO:0005794	cellular_component	Golgi apparatus	6	611	1835	45240	13378	0.171200701038363	0.0574329631867396
GO:0012505	cellular_component	endomembrane system	2	1521	4648	45240	13378	0.146146563270177	0.000353056280633608
GO:0044444	cellular_component	cytoplasmic part	4	3314	10694	45240	13378	0.0675804047730431	0.0378439363104126
GO:0071944	cellular_component	cell periphery	2	2059	6559	45240	13378	0.0862044338656731	0.0656637225301536
