Type	Value
mC	5.499520933
mC	5.564945322
mC	7.461706447
mC	5.553236911
mC	6.688437598
mC	4.51997249
mC	3.777809088
mC	4.64674926
mC	5.284681958
mC	4.578183952
mC	5.97094861
mC	6.502498272
mC	3.757450674
mC	5.56781739
mC	5.473010811
mC	3.240244746
mC	4.39837858
mC	4.313959759
mC	4.793524574
mC	3.142878543
mC	5.347068141
mC	5.081631203
mC	4.482278174
mC	4.415793153
mC	4.208363598
mC	4.170448043
mC	5.775809352
mC	5.694084654
mC	4.358983418
mC	4.236590935
mC	5.181071963
mC	5.10167358
mC	4.828362588
mC	3.601681739
mC	4.520482177
mC	4.398290919
mC	7.262382071
mC	5.466047089
mC	4.037573894
mC	6.249244337
mC	4.275277031
mC	6.227754432
mC	3.978082406
mC	4.391096906
mC	4.475851047
mC	4.738078252
mC	4.505180768
mC	4.609038734
mC	4.519214188
mC	5.138427334
mC	4.369969089
mC	3.874940746
mC	4.409510466
mC	4.7083905
mC	4.957578501
mC	6.656673528
mC	4.238709434
mC	4.561907753
mC	6.566016533
mC	4.653457166
mC	5.48890301
mC	3.31856845
mC	5.892464861
mC	5.205833513
mC	5.124558367
mC	5.335184577
mC	5.97076192
mC	4.914508855
mC	4.729868157
mC	4.547595663
mC	4.339847043
mC	6.099142875
mC	4.461505687
mC	5.574605148
mC	4.42689166
mC	4.936211708
mC	5.627026594
mC	5.289944587
mC	4.848021858
mC	3.592006005
mC	4.265041345
mC	5.136380292
mC	4.286381586
mC	5.555040721
mC	6.585889345
mC	4.402409709
mC	5.638931279
mC	3.904532893
mC	5.062373812
mC	4.652672121
mC	5.665771685
mC	5.192752655
mC	5.43360227
mC	5.227215839
mC	4.837578441
mC	4.517212589
mC	4.54993211
mC	5.07336833
mC	2.695098484
mC	4.359538356
CTCF	5.538549778
CTCF	6.718929076
CTCF	5.957321989
CTCF	4.471701446
CTCF	3.356621062
CTCF	3.700933262
CTCF	6.091835516
CTCF	4.965512061
CTCF	4.440350518
CTCF	2.749764999
CTCF	4.637791841
CTCF	6.234119698
CTCF	5.513301136
CTCF	3.912706297
CTCF	5.328403774
CTCF	7.176334731
CTCF	5.572600702
CTCF	3.469664318
CTCF	3.554430936
CTCF	4.498059565
CTCF	4.94214533
CTCF	6.715624155
CTCF	3.761058758
CTCF	4.030655599
CTCF	4.582476123
CTCF	5.689893861
CTCF	2.717764379
CTCF	5.724574599
CTCF	6.317386942
CTCF	4.172582259
CTCF	3.503664928
CTCF	3.54042767
CTCF	2.985176169
CTCF	4.893020262
CTCF	6.204835104
CTCF	5.579009369
CTCF	6.788080231
CTCF	7.434118777
CTCF	6.863157491
CTCF	7.260060438
CTCF	7.179838073
CTCF	5.073618536
CTCF	5.066727846
CTCF	7.268048471
CTCF	7.136032176
CTCF	5.475982219
CTCF	7.457865189
CTCF	7.274871642
CTCF	4.553641756
CTCF	4.67611124
CTCF	3.909158002
CTCF	5.382547508
CTCF	5.168553579
CTCF	6.342537197
CTCF	4.75695803
CTCF	3.088358998
CTCF	4.483567903
CTCF	4.572543082
CTCF	4.166735291
CTCF	2.749907447
CTCF	3.724998447
CTCF	4.97358605
CTCF	6.2785919
CTCF	6.98525148
CTCF	4.187818516
CTCF	5.485827081
CTCF	4.391864999
CTCF	3.484321635
CTCF	5.009463184
CTCF	2.834608217
CTCF	5.919660383
CTCF	5.520895307
CTCF	7.389281187
CTCF	7.330936475
CTCF	3.341121539
CTCF	6.06870773
CTCF	2.818283693
CTCF	2.711921619
CTCF	6.676402245
CTCF	3.720218528
CTCF	5.750210355
CTCF	4.632733392
CTCF	4.11820292
CTCF	6.906845117
CTCF	5.889242902
CTCF	6.811711623
CTCF	4.504791679
CTCF	4.309243573
CTCF	4.579060621
CTCF	2.955427462
CTCF	4.143028546
CTCF	4.664467399
CTCF	7.323542756
CTCF	7.342313871
CTCF	3.483057144
CTCF	3.550135358
CTCF	3.097268581
CTCF	4.294228968
CTCF	2.737853208
CTCF	6.617702824
