sex	weight
F	49
F	56
F	60
F	43
F	57
F	58
F	52
F	52
F	52
F	51
F	53
F	50
F	51
F	55
F	60
F	54
F	52
F	50
F	51
F	67
F	56
F	53
F	53
F	57
F	52
F	48
F	58
F	50
F	55
F	50
F	61
F	53
F	51
F	52
F	47
F	49
F	44
F	48
F	54
F	53
F	62
F	50
F	51
F	54
F	50
F	50
F	49
F	49
F	52
F	53
F	46
F	52
F	49
F	50
F	54
F	58
F	63
F	51
F	63
F	49
F	58
F	68
F	55
F	52
F	55
F	64
F	49
F	62
F	62
F	57
F	55
F	53
F	53
F	58
F	65
F	54
F	48
F	51
F	56
F	53
F	54
F	54
F	48
F	54
F	59
F	58
F	58
F	53
F	54
F	49
F	55
F	56
F	64
F	60
F	53
F	57
F	49
F	59
F	60
F	66
F	57
F	53
F	55
F	52
F	51
F	56
F	51
F	56
F	57
F	55
F	54
F	52
F	49
F	59
F	55
F	59
F	49
F	56
F	58
F	55
F	54
F	51
F	65
F	59
F	64
F	55
F	52
F	47
F	52
F	56
F	60
F	56
F	49
F	58
F	47
F	53
F	53
F	45
F	60
F	52
F	53
F	62
F	58
F	54
F	58
F	57
F	63
F	56
F	58
F	57
F	53
F	55
F	63
F	51
F	56
F	62
F	54
F	50
F	51
F	53
F	51
F	54
F	53
F	54
F	57
F	58
F	63
F	55
F	53
F	62
F	64
F	55
F	53
F	46
F	62
F	51
F	49
F	70
F	56
F	55
F	41
F	55
F	60
F	57
F	60
F	65
F	61
F	52
F	59
F	54
F	52
F	41
F	51
F	57
F	66
F	58
F	58
F	50
F	56
F	45
M	67
M	68
M	66
M	69
M	67
M	69
M	74
M	71
M	65
M	59
M	67
M	63
M	72
M	57
M	63
M	67
M	64
M	62
M	63
M	68
M	69
M	68
M	76
M	71
M	66
M	62
M	80
M	68
M	62
M	66
M	63
M	64
M	60
M	66
M	67
M	60
M	49
M	64
M	65
M	68
M	65
M	67
M	60
M	69
M	69
M	66
M	72
M	67
M	66
M	66
M	67
M	70
M	67
M	68
M	59
M	63
M	72
M	59
M	66
M	67
M	70
M	63
M	66
M	56
M	67
M	62
M	64
M	59
M	67
M	68
M	63
M	74
M	68
M	70
M	75
M	62
M	69
M	70
M	65
M	67
M	60
M	67
M	61
M	69
M	61
M	67
M	61
M	64
M	57
M	66
M	70
M	66
M	56
M	62
M	73
M	74
M	59
M	63
M	67
M	67
M	62
M	60
M	64
M	70
M	65
M	62
M	62
M	73
M	63
M	69
M	72
M	67
M	63
M	65
M	63
M	71
M	64
M	73
M	62
M	62
M	66
M	65
M	62
M	57
M	65
M	61
M	70
M	60
M	71
M	62
M	66
M	69
M	62
M	68
M	65
M	59
M	64
M	73
M	64
M	61
M	65
M	67
M	70
M	71
M	66
M	71
M	61
M	53
M	63
M	62
M	53
M	68
M	61
M	64
M	57
M	68
M	74
M	61
M	64
M	75
M	70
M	75
M	65
M	64
M	62
M	72
M	59
M	67
M	65
M	76
M	62
M	57
M	66
M	65
M	61
M	66
M	64
M	62
M	68
M	63
M	56
M	52
M	62
M	72
M	69
M	71
M	70
M	67
M	57
M	66
M	73
M	48
M	61
M	71
M	68
M	69
M	67
M	68
M	65
M	60
