ID	logCPM	FDR	level	Phylum	Labels
OTU_1594	6.737	0.666929192	NotSig	Acidobacteria	-
OTU_1772	7.119	0.826660611	NotSig	Acidobacteria	-
OTU_1112	6.814	0.609393891	NotSig	Acidobacteria	-
OTU_1165	7.172	0.617876639	NotSig	Acidobacteria	-
OTU_1644	6.82	0.99148613	NotSig	Acidobacteria	-
OTU_2265	6.111	0.904467689	NotSig	Acidobacteria	-
OTU_2382	6.768	0.899917141	NotSig	Acidobacteria	-
OTU_2811	6.072	0.996380294	NotSig	Acidobacteria	-
OTU_908	7.452	0.980786129	NotSig	Acidobacteria	-
OTU_3129	7.428	0.598994417	NotSig	Acidobacteria	-
OTU_3312	6.165	0.992170386	NotSig	Acidobacteria	-
OTU_3118	6.286	0.989664418	NotSig	Acidobacteria	-
OTU_2871	6.499	0.46498245	NotSig	Acidobacteria	-
OTU_2872	6.209	0.247424689	NotSig	Acidobacteria	-
OTU_1143	7.2	0.879648201	NotSig	Acidobacteria	-
OTU_2295	6.397	0.778656458	NotSig	Acidobacteria	-
OTU_3032	6.48	0.34557628	NotSig	Acidobacteria	-
OTU_2240	6.132	0.6457475	NotSig	Acidobacteria	-
OTU_2624	6.484	0.529531157	NotSig	Acidobacteria	-
OTU_1075	7.288	0.467769871	NotSig	Acidobacteria	-
OTU_1623	6.683	0.523840049	NotSig	Acidobacteria	-
OTU_1993	7.085	0.390382875	NotSig	Acidobacteria	-
OTU_1137	7.137	0.706772468	NotSig	Acidobacteria	-
OTU_1405	7.277	0.649877882	NotSig	Acidobacteria	-
OTU_2911	6.221	0.46059541	NotSig	Acidobacteria	-
OTU_2784	6.648	0.185011129	Enriched	Acidobacteria	-
OTU_2887	5.964	0.996380294	NotSig	Acidobacteria	-
OTU_1230	6.755	0.839959742	NotSig	Acidobacteria	-
OTU_1525	6.734	0.639416912	NotSig	Acidobacteria	-
OTU_1651	6.872	0.931862187	NotSig	Acidobacteria	-
OTU_2870	6.195	0.848348726	NotSig	Acidobacteria	-
OTU_466	8.151	0.696973182	NotSig	Acidobacteria	-
OTU_1932	6.023	0.24577687	NotSig	Acidobacteria	-
OTU_447	8.553	0.091002814	Depleted	Acidobacteria	-
OTU_2584	6.236	0.076382686	Depleted	Acidobacteria	-
OTU_2672	6.116	0.681930607	NotSig	Acidobacteria	-
OTU_1222	6.676	0.436266283	NotSig	Acidobacteria	-
OTU_3107	6.017	0.187177346	Depleted	Acidobacteria	-
OTU_2306	6.242	0.678136169	NotSig	Acidobacteria	-
OTU_2343	6.434	0.390382875	NotSig	Acidobacteria	-
OTU_3240	6.197	0.318059058	NotSig	Acidobacteria	-
OTU_2752	6.28	0.116154968	Depleted	Acidobacteria	-
OTU_1273	6.778	0.947911358	NotSig	Acidobacteria	-
OTU_2848	6.074	1	NotSig	Acidobacteria	-
OTU_2860	6.244	0.037226423	Depleted	Acidobacteria	-
OTU_1849	6.898	0.390382875	NotSig	Acidobacteria	-
OTU_847	7.474	0.076382686	Depleted	Acidobacteria	-
OTU_2817	6.112	0.920424377	NotSig	Acidobacteria	-
OTU_1909	6.405	0.798488183	NotSig	Acidobacteria	-
OTU_2651	6.285	0.996380294	NotSig	Acidobacteria	-
OTU_2810	6.118	0.606025552	NotSig	Acidobacteria	-
OTU_3167	6.194	0.786910188	NotSig	Acidobacteria	-
OTU_882	7.302	0.467463219	NotSig	Acidobacteria	-
OTU_2400	6.337	0.839959742	NotSig	Acidobacteria	-
OTU_2549	6.47	0.598994417	NotSig	Acidobacteria	-
OTU_2937	6.24	0.904467689	NotSig	Acidobacteria	-
OTU_3254	6.057	0.186051351	Depleted	Acidobacteria	-
OTU_2741	6.673	0.185011129	Depleted	Acidobacteria	-
OTU_2226	6.443	0.369433628	NotSig	Acidobacteria	-
OTU_2116	6.357	0.470743225	NotSig	Acidobacteria	-
OTU_3153	6.451	0.529531157	NotSig	Acidobacteria	-
OTU_2660	7.032	0.780216831	NotSig	Acidobacteria	-
OTU_1065	7.53	0.025420438	Depleted	Acidobacteria	-
OTU_2389	6.671	0.227646641	NotSig	Acidobacteria	-
OTU_2973	6.064	0.996380294	NotSig	Acidobacteria	-
OTU_2517	6.977	0.187177346	Depleted	Acidobacteria	-
OTU_3248	6.288	0.98936393	NotSig	Acidobacteria	-
OTU_2717	6.523	0.904467689	NotSig	Acidobacteria	-
OTU_1264	6.941	0.606228418	NotSig	Acidobacteria	-
OTU_2285	7.342	0.247424689	NotSig	Acidobacteria	-
OTU_1275	7.062	0.280037915	NotSig	Acidobacteria	-
OTU_3075	6.411	0.942697116	NotSig	Acidobacteria	-
OTU_3244	6.505	0.071580057	Depleted	Acidobacteria	-
OTU_2007	6.583	0.929701725	NotSig	Acidobacteria	-
OTU_1412	6.776	0.470481139	NotSig	Acidobacteria	-
OTU_2935	6.116	0.9767065	NotSig	Acidobacteria	-
OTU_3021	6.544	0.967128382	NotSig	Acidobacteria	-
OTU_1066	6.898	0.91990981	NotSig	Actinobacteria	-
OTU_1474	7.063	0.922686655	NotSig	Actinobacteria	-
OTU_1522	6.772	0.833770872	NotSig	Actinobacteria	-
OTU_1930	6.368	0.841843235	NotSig	Actinobacteria	-
OTU_2039	6.401	0.721378335	NotSig	Actinobacteria	-
OTU_2639	6.454	0.337249274	NotSig	Actinobacteria	-
OTU_3051	6.068	0.523840049	NotSig	Actinobacteria	-
OTU_3121	6.3	0.91391027	NotSig	Actinobacteria	-
OTU_511	8.437	0.292875652	NotSig	Actinobacteria	-
OTU_513	8.165	0.96477425	NotSig	Actinobacteria	-
OTU_301	9.196	0.804986212	NotSig	Actinobacteria	-
OTU_1173	6.95	0.528129513	NotSig	Actinobacteria	-
OTU_1188	7.285	0.069264599	Depleted	Actinobacteria	-
OTU_1591	6.543	0.514101681	NotSig	Actinobacteria	-
OTU_1592	6.414	0.41734232	NotSig	Actinobacteria	-
OTU_1767	6.532	0.76793371	NotSig	Actinobacteria	-
OTU_1769	6.589	0.598994417	NotSig	Actinobacteria	-
OTU_2037	6.64	0.920424377	NotSig	Actinobacteria	-
OTU_2883	6.332	0.578496891	NotSig	Actinobacteria	-
OTU_3015	6.071	0.996380294	NotSig	Actinobacteria	-
OTU_311	9.044	0.304792128	NotSig	Actinobacteria	-
OTU_3310	6.114	0.71775619	NotSig	Actinobacteria	-
OTU_971	7.146	0.622885602	NotSig	Actinobacteria	-
OTU_1703	6.196	0.935427236	NotSig	Actinobacteria	-
OTU_1947	6.733	0.992170386	NotSig	Actinobacteria	-
