Sample	Group	Class
SampleA_1	GroupA	ConditionC
SampleA_2	GroupA	ConditionC
SampleA_3	GroupA	ConditionC
SampleA_4	GroupA	ConditionC
SampleA_5	GroupA	ConditionC
SampleA_6	GroupA	ConditionD
SampleA_7	GroupA	ConditionD
SampleA_8	GroupA	ConditionD
SampleA_9	GroupA	ConditionD
SampleA_10	GroupA	ConditionD
SampleB_11	GroupB	ConditionC
SampleB_12	GroupB	ConditionC
SampleB_13	GroupB	ConditionC
SampleB_14	GroupB	ConditionC
SampleB_15	GroupB	ConditionC
SampleB_16	GroupB	ConditionD
SampleB_17	GroupB	ConditionD
SampleB_18	GroupB	ConditionD
SampleB_19	GroupB	ConditionD
SampleB_20	GroupB	ConditionD
