ID	Untrt_N61311	Untrt_N052611	Untrt_N080611	Untrt_N061011	Trt_N61311	Trt_N052611	Trt_N080611	Trt_N061011
ENSG00000115414	252202	431304	212257	370697	236548	403909	283575	387585
ENSG00000011465	211813	354136	245980	405052	211356	314485	221529	388640
ENSG00000091986	140134	238069	71221.9	208718	156034	248641	109522	241924
ENSG00000103888	38460.2	131025	51818	84834.9	55068.2	207130	197775	148503
ENSG00000115461	72255.1	277817	204248	157548	88501.6	203697	154450	156294
ENSG00000108821	139089	132869	154053	144582	57798.9	54788.7	67910.4	51179.9
ENSG00000166923	124034	132613	210571	106951	72571.9	88488.6	241778	59877.6
ENSG00000164692	233506	221473	213640	265083	153634	188594	162019	187340
ENSG00000210082	62711.7	116362	178151	76826.3	68373.6	120556	146434	80274.3
ENSG00000087086	178939	155928	226270	140204	118875	107078	127356	94547.8
ENSG00000137801	30358.5	45535.5	29720	31125.4	62927.9	172923	149208	149834
ENSG00000168542	103040	103740	88499.7	111629	64193.1	60506.2	44305.2	57692.1
ENSG00000075624	46111.5	59810.3	46095	48131.4	71876.1	100456	126608	78391
ENSG00000116260	228950	201638	187520	188664	227037	175624	214464	177231
ENSG00000163430	38028.4	55643.1	39014.6	50924.8	87193.9	93165.7	58104.9	108182
ENSG00000154734	6126.5	11493.6	8803.8	14244	40461.9	53348.9	44708.3	61131
ENSG00000198804	159616	171651	260314	194527	185907	193653	220691	199984
ENSG00000165124	37968.6	55494.8	30435.5	54972.3	47558.7	76484.2	64996.5	92071.6
ENSG00000100234	55202.4	67854.2	59738.5	67544	38743.6	51701.9	26476.9	41197.1
ENSG00000198712	31664.8	57603.4	69689.2	39570.5	47664.9	69377.6	65822.7	44673
ENSG00000156508	161016	159989	141240	153401	157107	134074	106947	132486
ENSG00000196924	61958.7	65136.5	48461	52791	73959	86084.4	104185	77475.8
ENSG00000198786	42016.1	63920.8	74646.8	46206.7	48478.2	70081.1	82301.5	51361.7
ENSG00000175899	19288.4	26707.9	1985.4	34219.9	16909.6	39268.3	7039.8	34855.1
ENSG00000184009	40189.7	44266.4	32348	44501.9	51691	70270.4	62940.4	62055.7
ENSG00000198727	42724.1	53149	67012.1	43098.2	53824.3	79202.8	69663.8	50820.6
ENSG00000163359	105676	81992.6	93370.8	93965.5	85673.6	63599	67773.7	79219.6
ENSG00000123243	22856	25453.3	1041	21997	10994.2	12882.3	506.2	12962
ENSG00000135862	22443.7	25786.2	27033.6	22614.3	43720.5	40942.1	40864.4	45495.2
ENSG00000107562	52820.8	22820.3	51094.9	48673	11789.5	7693.9	13307.9	13523.1
ENSG00000166482	36432.1	33564.9	34198.6	34334.7	17377.2	17490.8	16018.4	20091.3
ENSG00000167460	30208.6	33073.6	34022.3	32240	54600.6	52530.6	62770.7	45170.8
ENSG00000131016	36071.7	87675.5	31976.7	55131.6	20404.3	35424.3	18474.1	33095.5
ENSG00000162407	27544.9	38660.7	27170	43544.4	14786.4	17897.7	14018.1	21081.5
ENSG00000087245	117935	108005	140884	118680	98267.5	97240.7	121015	105711
ENSG00000124942	80940.5	84186.8	70295.4	82453.1	88047.4	97008.2	96216.5	116021
ENSG00000198886	60183.2	81110.7	80872.6	65641	73203.9	101445	70870.8	69681.7
ENSG00000198938	49105.3	52766.1	38059.2	43895.3	61183.9	65257.9	36978.3	47310.9
ENSG00000091136	19876	23121	19405.6	23040	40348.9	34744.7	30814.7	39335
ENSG00000135821	4923.9	4192.7	4443	3704.2	42158.9	32900.9	17367.3	46014.1
ENSG00000123384	85641.2	89552	75967.6	91834	73742	67349	82297.9	89535.2
ENSG00000138829	6460.5	3755.5	9953.3	3701	18079.8	10758.3	54438.6	17318.2
ENSG00000196569	5381.3	7970.2	4597.3	8112.5	27488.8	26630.5	15092	40111.8
ENSG00000143387	21639.7	38919.9	40101.4	31876	18547.4	40490.5	33989.9	32341
ENSG00000141753	59043.3	58013.5	145191	59886.4	56486.7	47880.3	124307	43434.4
ENSG00000137573	7785.5	30532.1	6219	16226.1	10491.9	30143.6	8977.9	20391.4
ENSG00000104332	4471.5	12483.9	9192	18864.6	4344.9	21753.6	16048.5	24977
ENSG00000149131	15881.4	21375.8	10255.1	20261.8	21793.7	28423.5	13336.5	29529.8
ENSG00000131386	6573.1	7883.8	10068.6	3546.1	17094.2	23996.8	24390.6	16691.5
ENSG00000196616	24658.9	23853	24748.9	25447.8	68108.4	64081.9	35199.9	60575.1
ENSG00000211445	894.1	2643.2	1372.5	1880.3	17489.1	35703.1	11580.3	26201.9
ENSG00000150093	23426	34716.2	31567.3	32576.8	26564.8	42162.8	38516.1	43164.9
ENSG00000198431	11622.4	11354.6	11312.2	11588.2	28176.8	43271.7	22900	39748.2
ENSG00000213626	5987.5	12929.5	2897.6	5940.9	15457.6	26795.9	15939	17709.2
ENSG00000077942	159839	169867	154201	148197	154565	178487	148162	151810
ENSG00000142173	81708.3	94258	83270.9	99253.3	72160.2	83441.8	85458.8	93316.6
ENSG00000113739	11904.4	7363.6	5534.9	18866.8	14111.9	24458.8	11881.7	41587.1
ENSG00000101347	1586.5	1772.3	1344.5	1817.5	19017.2	29165.8	12597.7	33641.9
ENSG00000134294	13049.2	11070.8	12730.5	12016.1	22432.5	35288.7	23487.1	33600.7
ENSG00000115380	15018.6	30468.5	23273	16959.4	15295.4	28526.4	26422.5	19304
ENSG00000148175	7038.3	7243.3	7461.8	7188.6	20567.7	17896.2	18313.7	21156.6
ENSG00000163513	5500.8	6979.8	8510.5	7069.5	15581.8	21017.3	17960.1	22315.9
ENSG00000206538	5825.9	9701.8	5217	7861.2	16547.2	20701.3	13970.1	21369
ENSG00000182718	16349.5	19146.9	16029.9	16505.6	27330	29860.4	23953.9	26841.2
ENSG00000167658	66372.4	65041.6	58845.8	58507.6	69515.7	53131.3	50805.2	62194.1
ENSG00000177469	13792.5	17087.4	12359.2	17287.6	20053.1	25481.3	24016.9	24984.4
ENSG00000165507	9067.4	9581.5	6722.6	10569	18740.9	37093.7	18250.7	35972.2
ENSG00000133026	8356.4	15932.8	7994.2	13809.7	10563.5	24472.3	15540.9	20424.2
ENSG00000129116	11785	17852.4	15188.1	14698.9	18463.5	32246.6	30829.8	26917.3
ENSG00000164292	7149.9	11118.3	11381.7	7437.7	14160	19212.3	26426	17115.3
ENSG00000142156	65524.3	78711.5	78763.4	84795.9	65798.4	65472.5	75421.3	78587.6
ENSG00000049323	13826.8	16685	15765.4	14469.3	23838.6	25354.6	22925.1	26279
ENSG00000163661	2172.1	4274.8	1760.8	3719.4	11473	14541.2	9038	21234.8
ENSG00000113140	34183.6	34866.2	34623.4	35804.5	27271.8	23551.1	22340.2	23083.2
ENSG00000122786	15928.4	17557.6	16634.3	14573.3	25110.5	28641.1	36360.4	23885.3
ENSG00000115963	22064.7	18647.9	22193	24350.6	10053.4	14703.6	13005.8	14132.9
ENSG00000125868	8348.6	14185	10578.1	10243	15663.5	26959.9	21374.4	18118.2
ENSG00000178209	13892.4	18243	8602.9	15905.5	22708.8	26524.7	18640.2	33696.9
ENSG00000159403	31274.1	32649.1	25058.3	31172	37883.4	35968.4	27222.2	37632.5
ENSG00000148926	12496.9	15430.4	9754.1	15708.4	18974.7	22141.1	22083.1	21110.1
ENSG00000172403	3575.4	5285.5	5311.1	2716.4	11909.2	15112	18391.8	10424.5
ENSG00000134352	39187.9	39066.5	28899.4	42512.2	34186.2	46208	37156.5	46027.9
ENSG00000164761	7034.3	14296.9	11046.9	12472.1	1931.9	4364.1	6369	2858.7
ENSG00000035403	11047.5	14479	8444.3	13371	18105.5	23028	18419	25439.9
ENSG00000147027	4929.8	10923.4	7290.6	7882.9	12242.6	23081.6	14877.2	18736.4
ENSG00000150938	5334.3	10012.7	5354.3	7417.2	8646.1	18048.3	15389.8	16425.2
ENSG00000112096	10861.5	10377.9	18787.6	7521.1	15152.2	21607.6	17717.3	14067.4
ENSG00000197043	9848.9	10465.1	9181	8859.9	20204.1	17268.8	17454.6	17714.5
ENSG00000118523	2830.2	6380	8377.4	8440.7	4651.4	12459	24362	25778.1
ENSG00000198695	13724	19672.2	22837.2	15170.1	17585.3	27393.6	23798.5	15317.6
ENSG00000173706	8171.3	12778.7	7300.7	8310.7	12265	16505.6	15229.5	16082.8
ENSG00000179218	23638.5	19207.1	17418.5	14872.2	19845	14342.9	24092.8	10686.6
ENSG00000205542	24404.3	39608.7	26391	35546.7	20631.4	31733.9	27784.2	28316.6
ENSG00000116016	25750.8	24795.9	29969.3	25432.6	14142.1	14611.2	23623.8	16057.4
ENSG00000139329	10953.5	17987.1	19852.4	21522.6	4950.1	11339.6	10686.8	11861.8
ENSG00000136235	31754	29586.6	30174.4	27976.8	21416.7	23946.1	22287.2	22590.7
ENSG00000136830	13447.8	13940.2	14789.7	12435.2	18387.4	21819.2	24401.4	21937.6
ENSG00000197746	46957.7	43904.7	36714.7	40767.3	45979.1	40040.4	34840.5	40297.8
ENSG00000182326	48860.5	44413.8	44092.6	46762.3	53289.6	49227.7	42733	52487.2
ENSG00000100345	35388.2	36945.1	44492.7	31589	37249.1	42496.7	61048.1	38137.6
