bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.282	0.317	0.267	0.332	0.253	0.327	0.357	0.319	0.288	0.292	0.311	0.310	0.319	0.301	0.311	0.326	0.283
KO2	0.282	0	0.355	0.338	0.432	0.308	0.331	0.331	0.332	0.326	0.297	0.325	0.298	0.339	0.283	0.295	0.342	0.295
KO3	0.317	0.355	0	0.314	0.331	0.316	0.422	0.398	0.357	0.355	0.358	0.407	0.375	0.364	0.365	0.351	0.355	0.324
KO4	0.267	0.338	0.314	0	0.325	0.262	0.397	0.401	0.347	0.334	0.332	0.386	0.333	0.335	0.347	0.344	0.337	0.323
KO5	0.332	0.432	0.331	0.325	0	0.326	0.478	0.448	0.427	0.392	0.398	0.468	0.395	0.368	0.410	0.404	0.369	0.379
KO6	0.253	0.308	0.316	0.262	0.326	0	0.383	0.401	0.348	0.329	0.323	0.359	0.345	0.351	0.336	0.337	0.335	0.332
OE1	0.327	0.331	0.422	0.397	0.478	0.383	0	0.292	0.312	0.303	0.267	0.228	0.322	0.352	0.254	0.318	0.351	0.282
OE2	0.357	0.331	0.398	0.401	0.448	0.401	0.292	0	0.298	0.302	0.271	0.302	0.299	0.365	0.274	0.330	0.342	0.269
OE3	0.319	0.332	0.357	0.347	0.427	0.348	0.312	0.298	0	0.244	0.279	0.301	0.271	0.302	0.273	0.286	0.298	0.265
OE4	0.288	0.326	0.355	0.334	0.392	0.329	0.303	0.302	0.244	0	0.268	0.293	0.273	0.294	0.262	0.269	0.294	0.256
OE5	0.292	0.297	0.358	0.332	0.398	0.323	0.267	0.271	0.279	0.268	0	0.258	0.271	0.298	0.230	0.260	0.268	0.232
OE6	0.311	0.325	0.407	0.386	0.468	0.359	0.228	0.302	0.301	0.293	0.258	0	0.317	0.359	0.270	0.312	0.337	0.294
WT1	0.310	0.298	0.375	0.333	0.395	0.345	0.322	0.299	0.271	0.273	0.271	0.317	0	0.234	0.254	0.274	0.262	0.253
WT2	0.319	0.339	0.364	0.335	0.368	0.351	0.352	0.365	0.302	0.294	0.298	0.359	0.234	0	0.282	0.267	0.269	0.291
WT3	0.301	0.283	0.365	0.347	0.410	0.336	0.254	0.274	0.273	0.262	0.230	0.270	0.254	0.282	0	0.247	0.293	0.227
WT4	0.311	0.295	0.351	0.344	0.404	0.337	0.318	0.330	0.286	0.269	0.260	0.312	0.274	0.267	0.247	0	0.304	0.262
WT5	0.326	0.342	0.355	0.337	0.369	0.335	0.351	0.342	0.298	0.294	0.268	0.337	0.262	0.269	0.293	0.304	0	0.266
WT6	0.283	0.295	0.324	0.323	0.379	0.332	0.282	0.269	0.265	0.256	0.232	0.294	0.253	0.291	0.227	0.262	0.266	0
