Gene	Cluster	Expr	Percent
Pou5f1	Zygote	1	0.246695526
Sox2	Zygote	0.5	0.617459927
Gata2	Zygote	0.3	0.623361168
cMyc	Zygote	10.4	0.8
Tet1	Zygote	16	0.431880979
Tet3	Zygote	32	0.145316434
Pou5f1	2_cell	2	0.244849716
Sox2	2_cell	1	0.364233541
Gata2	2_cell	0.6	0.588183191
cMyc	2_cell	5.2	0.811433378
Tet1	2_cell	8	0.365104165
Tet3	2_cell	16	0.396780582
Pou5f1	4_cell	4	0.601440317
Sox2	4_cell	2	0.153557784
Gata2	4_cell	1.3	0.003045256
cMyc	4_cell	2.6	0.707240651
Tet1	4_cell	4	0.815948599
Tet3	4_cell	8	0.617031383
Pou5f1	8_cell	8	0.970561804
Sox2	8_cell	4	0.278595655
Gata2	8_cell	2.6	0.285646591
cMyc	8_cell	1.3	0.391556814
Tet1	8_cell	2	0.230485205
Tet3	8_cell	4	0.987381464
Pou5f1	Morula	16	0.9
Sox2	Morula	8	0.223710115
Gata2	Morula	5.2	0.203391881
cMyc	Morula	0.6	0.21203413
Tet1	Morula	1	0.262143152
Tet3	Morula	2	0.785652512
Pou5f1	ICM	32	1
Sox2	ICM	16	0.11069744
Gata2	ICM	10.4	0.085832987
cMyc	ICM	0.3	0.126469822
Tet1	ICM	0.5	0.026535644
Tet3	ICM	1	0.392058575
